iter	RMSE
180	3.068730901e+10
181	3.0667809e+10
182	3.06477896e+10
183	3.061472234e+10
184	3.059415581e+10
185	3.057070343e+10
186	3.055181427e+10
187	3.05340514e+10
188	3.050144473e+10
189	3.047974763e+10
190	3.043132468e+10
191	3.041360782e+10
192	3.037469577e+10
193	3.035164719e+10
194	3.031999211e+10
195	3.030038609e+10
196	3.027697326e+10
197	3.024439169e+10
198	3.021144237e+10
199	3.01948467e+10
200	3.017681075e+10
201	3.014280627e+10
202	3.012349375e+10
203	3.010650163e+10
204	3.008049221e+10
205	3.006136304e+10
206	3.002506395e+10
207	2.999120923e+10
208	2.994512503e+10
209	2.991716185e+10
210	2.989949617e+10
211	2.987664906e+10
212	2.984095588e+10
213	2.981452859e+10
214	2.980148639e+10
215	2.978061669e+10
216	2.976701963e+10
217	2.974617567e+10
218	2.972500098e+10
219	2.970712725e+10
220	2.967684926e+10
221	2.966546647e+10
222	2.965053685e+10
223	2.963832319e+10
224	2.961727791e+10
225	2.960019146e+10
226	2.957080745e+10
227	2.955795757e+10
228	2.953146125e+10
229	2.950459367e+10
230	2.948992723e+10
231	2.947005506e+10
232	2.945892455e+10
233	2.944158039e+10
234	2.940864902e+10
235	2.93925018e+10
236	2.937768549e+10
237	2.936664575e+10
238	2.933357256e+10
239	2.932189465e+10
240	2.930231896e+10
241	2.928828247e+10
242	2.927177898e+10
243	2.925948734e+10
244	2.924698673e+10
245	2.923175617e+10
246	2.920872501e+10
247	2.919027178e+10
248	2.915157982e+10
249	2.913810573e+10
250	2.912791972e+10
251	2.91023034e+10
252	2.909210394e+10
253	2.906450185e+10
254	2.905415929e+10
255	2.904122073e+10
256	2.902283286e+10
257	2.900138762e+10
258	2.897285524e+10
259	2.896294453e+10
260	2.895302879e+10
